Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,28,0,0,28,24,0,20,20,0,20
Albania,ALB,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,20,20,0,0,0
Algeria,DZA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,20
Andorra,AND,0,0,0,4,4,0,0,0,0,10,21,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,20,0
Angola,AGO,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,20,0,0,0
Antigua and Barbuda,ATG,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0,15,0,14,0,0,0,0,18,0,25,0,0,54,0,0,29,48,20,0,0,20,0
Argentina,ARG,44,16,52,12,8,80,177,244,487,246,655,289,188,230,295,206,284,351,315,590,424,306,179,519,406,783,1145,989,1172,2176,2146,1700,1460,1160,1180,1400,3860
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,40,0,0,0,40
Australia,AUS,147667,121790,87581,89585,92606,89950,136451,195739,253243,188569,174072,208861,181844,198677,184280,217582,287405,293762,292279,285164,301211,286554,286983,322505,405569,416919,398419,416298,383291,368812,378187,359764,355660,359400,388540,420240,431980
Austria,AUT,92,40,84,128,88,80,168,130,118,124,159,150,204,50,199,243,219,152,200,216,423,251,250,205,357,671,525,517,562,291,859,517,640,560,580,640,740
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,20,0,0
Bahamas,BHS,12,0,8,4,4,0,4,8,26,11,21,0,20,13,0,26,14,14,0,68,0,42,38,21,24,0,26,27,0,0,123,20,0,40,80,60,20
Bahrain,BHR,20,12,20,36,44,24,20,0,8,20,0,11,22,35,36,15,62,0,71,17,0,0,0,30,0,0,22,79,54,49,24,40,80,20,0,20,40
Bangladesh,BGD,4,4,4,8,0,20,0,22,22,0,0,11,0,48,346,161,67,97,88,37,60,67,44,124,29,88,103,23,77,170,238,92,160,100,100,100,40
Barbados,BRB,8,20,24,12,20,24,21,10,11,10,9,10,10,9,0,42,99,33,46,36,18,19,39,0,73,29,25,80,54,84,33,24,40,0,40,0,20
Belarus,BLR,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,0,0,0,28,24,0,0,0,0,0
Belgium,BEL,40,12,20,36,12,28,33,74,27,22,79,54,84,36,74,91,80,90,128,64,53,141,58,95,117,77,194,196,192,94,100,108,120,200,140,300,280
Belize,BLZ,0,0,0,4,0,0,4,0,0,0,0,11,0,0,26,0,17,0,0,0,0,0,0,23,0,0,26,0,33,0,0,0,0,0,60,0,80
Benin,BEN,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,0,54,0,0,22,46,25,0,52,54,28,27,0,0,80,80,80,120,80
Bolivia,BOL,0,4,0,0,4,0,6,0,0,20,0,8,0,25,55,0,33,45,0,30,35,38,35,75,46,28,100,54,53,85,53,77,180,120,100,120,160
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,16,46,43,36,19,19,18,20,48,26,25,22,0,0,24,48,20,40,0,0,60
Botswana,BWA,4,0,4,0,4,0,5,13,20,11,0,11,23,0,13,15,18,81,61,49,34,40,57,46,25,77,140,50,182,103,105,130,160,300,60,160,280
Brazil,BRA,48,88,56,36,44,64,160,130,182,149,107,97,101,144,189,204,190,259,342,347,303,270,288,433,653,692,693,840,718,1172,1163,975,1080,780,1480,1000,2180
Brunei Darussalam,BRN,28,28,60,44,48,52,29,44,31,49,77,83,44,65,47,147,177,184,83,70,131,116,63,59,152,161,127,172,241,159,142,216,60,80,100,40,20
Bulgaria,BGR,12,4,8,4,4,4,4,0,0,0,0,0,11,0,0,0,0,0,13,32,21,0,19,80,26,76,128,107,28,47,29,84,140,180,100,100,120
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Burma (Myanmar),MMR,0,0,8,0,20,0,5,0,0,0,0,0,12,11,39,0,18,72,17,103,99,42,40,49,102,183,185,172,29,49,92,163,460,420,320,620,780
Burundi,BDI,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Cambodia,KHM,0,0,0,0,0,8,0,0,0,0,0,11,12,34,13,74,16,50,70,118,221,346,353,284,668,708,503,793,959,1303,1336,1351,1480,1860,2040,2880,2220
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,20,0,0,0,0
Canada,CAN,1784,1548,1388,1380,1532,1552,3538,3497,4340,4772,4549,3118,2955,3685,3868,4590,4756,5294,4669,5442,6012,4450,4382,4791,5616,6427,6005,7176,8876,7819,6743,7148,7880,8540,9120,9100,10780
Cape Verde,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,24,28,32,32,28,28,53,56,53,82,154,93,59,158,208,149,117,154,254,262,215,185,199,322,546,243,731,563,812,850,608,908,780,700,880,880,1080
China Peoples Republic of,CHN,200,440,436,480,764,800,921,1116,1088,649,622,690,656,887,1270,1173,1404,1693,2238,2537,3363,5827,10019,11023,14635,15778,14686,16427,17238,15703,18931,19095,17220,18100,18360,22400,25280
Colombia,COL,4,0,4,4,4,12,18,16,0,0,0,0,12,0,49,16,0,0,16,15,40,21,0,26,25,48,26,23,28,55,114,84,180,80,220,280,260
Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,20
Congo,COD,0,0,0,0,4,0,48,0,117,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo the Democratic Republic of the,COG,0,0,0,4,4,0,0,6,0,0,0,0,0,0,0,14,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,0,12,0,0,0,4,5,0,0,0,9,23,0,12,0,32,16,17,49,92,15,17,21,69,50,149,214,52,157,127,33,177,140,160,380,340,340
Cote dIvoire,CIV,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,24,53,0,0,0,0,0,0,0,0,20,0,20
Croatia,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,74,144,107,172,123,252,283,252,328,304,534,766,834,922,770,662,824,1400,1260,1640,1520,1800
Cuba,CUB,0,0,0,0,0,4,0,0,0,0,21,12,12,0,0,26,16,32,0,0,93,21,87,113,148,102,211,217,111,139,132,227,300,260,300,820,1180
Cyprus,CYP,8,28,8,12,28,20,43,27,28,20,33,22,21,50,11,27,32,33,13,65,19,19,19,37,24,100,75,0,128,49,29,20,60,100,40,40,100
Czech Republic,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,55,47,45,78,100,112,40,54,179,121,127,50,95,142,178,313,209,500,440,260,360,380
Denmark,DNK,68,96,84,52,80,96,136,179,75,161,111,115,136,82,122,129,115,114,136,126,95,100,171,127,197,183,366,226,292,128,246,333,300,180,220,400,380
Djibouti,DJI,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,0,52,0,0,68,20,20,40,0,40
Ecuador,TMP,12,0,16,0,16,0,6,14,0,0,0,22,21,54,14,42,30,31,82,176,112,55,100,48,73,52,165,152,284,207,225,104,160,220,360,380,480
Egypt,ECU,24,36,24,36,52,44,45,96,181,155,111,54,255,80,219,330,302,349,218,212,531,312,236,428,525,616,743,1150,1630,1158,1598,374,500,260,340,260,260
El Salvador,EGY,4,0,0,0,0,0,5,0,8,0,0,0,12,0,0,0,0,17,0,0,0,0,0,0,0,0,0,23,0,0,0,20,0,20,0,0,0
Equatorial Guinea,SLV,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0
Eritrea,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
Estonia,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,26,55,0,0,0,20,20,0,0,40
Ethiopia,EST,0,0,0,0,4,4,0,0,11,0,0,0,0,14,14,26,46,31,0,0,0,0,24,17,0,29,0,28,26,25,26,20,100,80,40,120,120
Fiji,ETH,23325,20316,16816,13036,12524,9629,13541,10178,13299,18409,20132,19861,26495,28463,38263,40282,45077,48032,49812,50431,32552,45363,47536,49053,70380,77177,70740,64800,66848,60439,62503,66113,67860,71860,86260,98780,104400
Finland,FJI,24,8,12,4,24,20,31,59,17,47,22,27,67,43,20,61,62,98,0,134,47,82,0,62,0,122,172,23,85,74,0,64,200,40,100,180,80
France,FIN,248,316,332,412,452,493,513,803,718,993,1038,850,1241,1414,1553,1836,1699,2332,2832,2888,3622,3201,3933,4061,5398,5745,5821,11532,8554,6316,8251,7731,8660,9260,10360,10720,10000
Gabon,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Gambia,GAB,4,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,22,0,0,0,0,0,0,0,44,60,0,40,60,20
Germany,GEO,300,341,412,380,392,448,557,915,825,876,1044,650,828,1153,1127,1132,1247,1382,1186,1160,1448,1151,1074,1213,1591,1370,2006,1756,2484,2515,2778,2723,2980,3200,2900,3360,3680
Ghana,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,0,21,41,20,50,0,0,26,31,31,28,20,20,20,0,0,0
Greece,GHA,328,292,384,324,280,332,411,415,490,385,535,398,346,434,537,457,634,645,764,731,1085,1129,551,941,1081,1451,1565,1631,1422,1330,1801,1256,1320,1900,2000,2120,2040
Grenada,GRC,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,0,19,35,19,0,0,0,25,0,0,108,0,0,0,0,0,40,0,0,0
Guatemala,GRD,4,0,0,4,0,0,0,11,9,0,0,24,0,0,0,0,0,17,17,36,32,42,41,23,50,25,0,0,0,25,29,44,60,60,100,100,180
Guinea,GTM,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,GNB,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,40,0
Haiti,GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,0,17,0,0,0,0,0,0,0,24,0,0,0,0,0,0
Honduras,HTI,0,0,0,0,0,0,0,0,11,0,0,0,21,0,23,0,0,0,0,0,19,40,48,0,0,0,28,0,0,0,0,0,0,20,0,40,20
Hong Kong (Special Administrative Region),HND,1844,2080,2256,3772,4720,3844,4432,7004,7031,5831,6830,7784,8561,9445,8405,7747,9737,10208,9970,6767,6974,6009,5088,3905,5044,5407,6023,6079,6892,5239,5323,5500,4940,5080,4660,4500,5600
Hungary,HKG,16,16,32,20,40,24,5,54,28,77,40,20,31,60,60,50,16,89,63,52,93,57,74,64,140,23,95,104,187,193,126,112,140,220,200,260,420
Iceland,HUN,0,0,4,0,8,0,0,18,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,21,0,77,48,23,26,54,76,94,120,60,60,80,140
India,ISL,372,552,664,716,692,820,870,1236,1110,1165,1415,1164,1019,1421,1333,1669,2037,1995,2342,2050,2174,2575,2128,3398,4196,5067,5751,6349,6766,5885,6505,6819,8520,8960,8860,9980,13720
Indonesia,IND,552,656,789,968,828,760,829,1363,2293,7602,11251,10673,9347,14839,11759,12412,13986,14920,16278,15051,13496,12831,11294,6773,9698,9301,7024,6366,6948,8106,10181,11928,13800,18400,29140,31820,38880
Iran,IDN,8,4,0,0,0,8,0,0,0,11,32,23,31,0,14,41,50,50,0,0,20,57,0,66,68,49,154,104,215,132,164,60,60,160,160,200,220
Iraq,IRN,8,4,4,0,0,4,0,0,11,0,0,0,0,0,0,0,0,16,0,17,0,0,22,0,0,0,28,0,26,26,24,20,80,40,0,20,0
Ireland,IRQ,188,112,172,156,232,204,253,218,198,484,246,262,342,503,689,568,650,972,1042,953,1012,1024,1044,1060,1428,1319,1468,1455,1618,1339,1185,1865,1700,1600,1820,1600,1940
Israel,IRL,104,92,112,152,176,176,81,185,161,259,170,132,217,262,187,296,405,281,352,338,363,97,223,153,136,370,327,347,508,374,590,288,520,640,520,600,580
Italy,ISR,224,296,252,256,268,276,457,538,448,607,763,583,595,789,1234,1756,1835,2175,2713,2772,3539,4065,3764,3500,5398,5760,6846,7238,7156,6240,6957,9056,7860,9620,10940,11780,10720
Jamaica,ITA,8,4,4,4,0,0,5,24,0,10,11,23,21,0,38,15,17,36,46,0,16,40,90,133,25,33,0,54,24,75,24,54,40,0,40,40,40
Japan,JAM,888,1712,2520,2456,2712,2740,2720,5318,2565,2997,2699,3028,3626,3973,3546,3802,4576,4139,4041,3725,3495,3711,4070,3331,4109,4082,3850,5074,5793,5731,6030,4640,6000,7220,8920,12440,14960
Jordan,JPN,0,0,0,0,4,4,0,8,0,20,0,0,10,27,35,11,50,16,0,33,76,0,0,0,123,29,56,0,107,149,128,74,160,120,60,80,100
Kazakhstan,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,38,0,20,0,0,0,0,0,47,48,68,20,40,0,0,40
Kenya,KAZ,36,52,76,32,12,36,48,140,160,127,191,73,150,141,102,81,101,132,96,90,57,78,161,65,125,131,324,246,210,108,377,246,460,480,200,400,440
Kiribati,KEN,8,16,12,0,16,12,33,42,19,11,9,22,12,12,41,87,80,45,16,20,40,21,0,17,25,0,51,0,86,0,116,28,60,60,40,180,120
Kuwait,KIR,0,4,8,0,4,0,12,0,11,0,0,0,12,11,0,0,0,14,0,0,19,0,0,26,24,56,0,0,31,83,24,108,80,40,20,100,80
Kyrgyzstan,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,20,0,40,20,40
Laos,KGZ,0,0,0,0,0,0,0,0,11,0,0,0,0,11,30,27,34,78,143,52,135,162,85,43,103,135,82,162,171,236,119,270,300,340,300,260,300
Latvia,LAO,0,0,4,0,0,4,0,0,0,0,0,0,0,0,23,13,0,34,16,0,0,0,0,0,51,0,0,26,28,0,28,24,20,0,20,0,0
Lebanon,LVA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,34,17,16,0,34,0,19,0,82,0,26,27,0,26,24,48,40,20,0,20,20
Lesotho,LBN,0,0,0,4,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
