Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0.014,0,0,0.014,0.012,0,0.01,0.01,0,0.01
Albania,ALB,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0
Algeria,DZA,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0.01
Andorra,AND,0,0,0,0.002,0.002,0,0,0,0,0.005,0.0105,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0.01,0
Angola,AGO,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0.01,0,0,0
Antigua and Barbuda,ATG,0,0,0.002,0,0,0,0,0,0,0,0.012,0,0,0,0,0.0075,0,0.007,0,0,0,0,0.009,0,0.0125,0,0,0.027,0,0,0.0145,0.024,0.01,0,0,0.01,0
Argentina,ARG,0.022,0.008,0.026,0.006,0.004,0.04,0.0885,0.122,0.2435,0.123,0.3275,0.1445,0.094,0.115,0.1475,0.103,0.142,0.1755,0.1575,0.295,0.212,0.153,0.0895,0.2595,0.203,0.3915,0.5725,0.4945,0.586,1.088,1.073,0.85,0.73,0.58,0.59,0.7,1.93
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0.011,0.012,0,0,0,0,0,0,0,0.02,0,0,0,0.02
Australia,AUS,22.15005,18.2685,13.13715,13.43775,13.8909,13.4925,20.46765,29.36085,37.98645,28.28535,26.1108,31.32915,27.2766,29.80155,27.642,32.6373,43.11075,44.0643,43.84185,42.7746,45.18165,42.9831,43.04745,48.37575,60.83535,62.53785,59.76285,62.4447,57.49365,55.3218,56.72805,53.9646,53.349,53.91,58.281,63.036,64.797
Austria,AUT,0.046,0.02,0.042,0.064,0.044,0.04,0.084,0.065,0.059,0.062,0.0795,0.075,0.102,0.025,0.0995,0.1215,0.1095,0.076,0.1,0.108,0.2115,0.1255,0.125,0.1025,0.1785,0.3355,0.2625,0.2585,0.281,0.1455,0.4295,0.2585,0.32,0.28,0.29,0.32,0.37
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0,0,0,0,0,0,0,0,0.01,0,0
Bahamas,BHS,0.006,0,0.004,0.002,0.002,0,0.002,0.004,0.013,0.0055,0.0105,0,0.01,0.0065,0,0.013,0.007,0.007,0,0.034,0,0.021,0.019,0.0105,0.012,0,0.013,0.0135,0,0,0.0615,0.01,0,0.02,0.04,0.03,0.01
Bahrain,BHR,0.01,0.006,0.01,0.018,0.022,0.012,0.01,0,0.004,0.01,0,0.0055,0.011,0.0175,0.018,0.0075,0.031,0,0.0355,0.0085,0,0,0,0.015,0,0,0.011,0.0395,0.027,0.0245,0.012,0.02,0.04,0.01,0,0.01,0.02
Bangladesh,BGD,0.002,0.002,0.002,0.004,0,0.01,0,0.011,0.011,0,0,0.0055,0,0.024,0.173,0.0805,0.0335,0.0485,0.044,0.0185,0.03,0.0335,0.022,0.062,0.0145,0.044,0.0515,0.0115,0.0385,0.085,0.119,0.046,0.08,0.05,0.05,0.05,0.02
Barbados,BRB,0.004,0.01,0.012,0.006,0.01,0.012,0.0105,0.005,0.0055,0.005,0.0045,0.005,0.005,0.0045,0,0.021,0.0495,0.0165,0.023,0.018,0.009,0.0095,0.0195,0,0.0365,0.0145,0.0125,0.04,0.027,0.042,0.0165,0.012,0.02,0,0.02,0,0.01
Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0.014,0,0,0,0.014,0.012,0,0,0,0,0
Belgium,BEL,0.02,0.006,0.01,0.018,0.006,0.014,0.0165,0.037,0.0135,0.011,0.0395,0.027,0.042,0.018,0.037,0.0455,0.04,0.045,0.064,0.032,0.0265,0.0705,0.029,0.0475,0.0585,0.0385,0.097,0.098,0.096,0.047,0.05,0.054,0.06,0.1,0.07,0.15,0.14
Belize,BLZ,0,0,0,0.002,0,0,0.002,0,0,0,0,0.0055,0,0,0.013,0,0.0085,0,0,0,0,0,0,0.0115,0,0,0.013,0,0.0165,0,0,0,0,0,0.03,0,0.04
Benin,BEN,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0,0,0.007,0,0.027,0,0,0.011,0.023,0.0125,0,0.026,0.027,0.014,0.0135,0,0,0.04,0.04,0.04,0.06,0.04
Bolivia,BOL,0,0.002,0,0,0.002,0,0.003,0,0,0.01,0,0.004,0,0.0125,0.0275,0,0.0165,0.0225,0,0.015,0.0175,0.019,0.0175,0.0375,0.023,0.014,0.05,0.027,0.0265,0.0425,0.0265,0.0385,0.09,0.06,0.05,0.06,0.08
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0.0055,0.008,0.023,0.0215,0.018,0.0095,0.0095,0.009,0.01,0.024,0.013,0.0125,0.011,0,0,0.012,0.024,0.01,0.02,0,0,0.03
Botswana,BWA,0.002,0,0.002,0,0.002,0,0.0025,0.0065,0.01,0.0055,0,0.0055,0.0115,0,0.0065,0.0075,0.009,0.0405,0.0305,0.0245,0.017,0.02,0.0285,0.023,0.0125,0.0385,0.07,0.025,0.091,0.0515,0.0525,0.065,0.08,0.15,0.03,0.08,0.14
Brazil,BRA,0.024,0.044,0.028,0.018,0.022,0.032,0.08,0.065,0.091,0.0745,0.0535,0.0485,0.0505,0.072,0.0945,0.102,0.095,0.1295,0.171,0.1735,0.1515,0.135,0.144,0.2165,0.3265,0.346,0.3465,0.42,0.359,0.586,0.5815,0.4875,0.54,0.39,0.74,0.5,1.09
Brunei Darussalam,BRN,0.014,0.014,0.03,0.022,0.024,0.026,0.0145,0.022,0.0155,0.0245,0.0385,0.0415,0.022,0.0325,0.0235,0.0735,0.0885,0.092,0.0415,0.035,0.0655,0.058,0.0315,0.0295,0.076,0.0805,0.0635,0.086,0.1205,0.0795,0.071,0.108,0.03,0.04,0.05,0.02,0.01
Bulgaria,BGR,0.006,0.002,0.004,0.002,0.002,0.002,0.002,0,0,0,0,0,0.0055,0,0,0,0,0,0.0065,0.016,0.0105,0,0.0095,0.04,0.013,0.038,0.064,0.0535,0.014,0.0235,0.0145,0.042,0.07,0.09,0.05,0.05,0.06
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Burma (Myanmar),MMR,0,0,0.004,0,0.01,0,0.0025,0,0,0,0,0,0.006,0.0055,0.0195,0,0.009,0.036,0.0085,0.0515,0.0495,0.021,0.02,0.0245,0.051,0.0915,0.0925,0.086,0.0145,0.0245,0.046,0.0815,0.23,0.21,0.16,0.31,0.39
Burundi,BDI,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0
Cambodia,KHM,0,0,0,0,0,0.004,0,0,0,0,0,0.0055,0.006,0.017,0.0065,0.037,0.008,0.025,0.035,0.059,0.1105,0.173,0.1765,0.142,0.334,0.354,0.2515,0.3965,0.4795,0.6515,0.668,0.6755,0.74,0.93,1.02,1.44,1.11
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0.01,0,0,0,0
Canada,CAN,0.892,0.774,0.694,0.69,0.766,0.776,1.769,1.7485,2.17,2.386,2.2745,1.559,1.4775,1.8425,1.934,2.295,2.378,2.647,2.3345,2.721,3.006,2.225,2.191,2.3955,2.808,3.2135,3.0025,3.588,4.438,3.9095,3.3715,3.574,3.94,4.27,4.56,4.55,5.39
Cape Verde,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0.0165,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,0.012,0.014,0.016,0.016,0.014,0.014,0.0265,0.028,0.0265,0.041,0.077,0.0465,0.0295,0.079,0.104,0.0745,0.0585,0.077,0.127,0.131,0.1075,0.0925,0.0995,0.161,0.273,0.1215,0.3655,0.2815,0.406,0.425,0.304,0.454,0.39,0.35,0.44,0.44,0.54
'China People''s Republic of',CHN,0.1,0.22,0.218,0.24,0.382,0.4,0.4605,0.558,0.544,0.3245,0.311,0.345,0.328,0.4435,0.635,0.5865,0.702,0.8465,1.119,1.2685,1.6815,2.9135,5.0095,5.5115,7.3175,7.889,7.343,8.2135,8.619,7.8515,9.4655,9.5475,8.61,9.05,9.18,11.2,12.64
Colombia,COL,0.002,0,0.002,0.002,0.002,0.006,0.009,0.008,0,0,0,0,0.006,0,0.0245,0.008,0,0,0.008,0.0075,0.02,0.0105,0,0.013,0.0125,0.024,0.013,0.0115,0.014,0.0275,0.057,0.042,0.09,0.04,0.11,0.14,0.13
Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0,0,0,0,0,0.01
Congo,COD,0,0,0,0,0.002,0,0.024,0,0.0585,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo the Democratic Republic of the,COG,0,0,0,0.002,0.002,0,0,0.003,0,0,0,0,0,0,0,0.007,0.0065,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,0,0.006,0,0,0,0.002,0.0025,0,0,0,0.0045,0.0115,0,0.006,0,0.016,0.008,0.0085,0.0245,0.046,0.0075,0.0085,0.0105,0.0345,0.025,0.0745,0.107,0.026,0.0785,0.0635,0.0165,0.0885,0.07,0.08,0.19,0.17,0.17
'Cote d''Ivoire',CIV,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.012,0.0265,0,0,0,0,0,0,0,0,0.01,0,0.01
Croatia,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0.023,0.037,0.072,0.0535,0.086,0.0615,0.126,0.1415,0.126,0.164,0.152,0.267,0.383,0.417,0.461,0.385,0.331,0.412,0.7,0.63,0.82,0.76,0.9
Cuba,CUB,0,0,0,0,0,0.002,0,0,0,0,0.0105,0.006,0.006,0,0,0.013,0.008,0.016,0,0,0.0465,0.0105,0.0435,0.0565,0.074,0.051,0.1055,0.1085,0.0555,0.0695,0.066,0.1135,0.15,0.13,0.15,0.41,0.59
Cyprus,CYP,0.004,0.014,0.004,0.006,0.014,0.01,0.0215,0.0135,0.014,0.01,0.0165,0.011,0.0105,0.025,0.0055,0.0135,0.016,0.0165,0.0065,0.0325,0.0095,0.0095,0.0095,0.0185,0.012,0.05,0.0375,0,0.064,0.0245,0.0145,0.01,0.03,0.05,0.02,0.02,0.05
Czech Republic,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.024,0.0275,0.0235,0.0225,0.039,0.05,0.056,0.02,0.027,0.0895,0.0605,0.0635,0.025,0.0475,0.071,0.089,0.1565,0.1045,0.25,0.22,0.13,0.18,0.19
Denmark,DNK,0.034,0.048,0.042,0.026,0.04,0.048,0.068,0.0895,0.0375,0.0805,0.0555,0.0575,0.068,0.041,0.061,0.0645,0.0575,0.057,0.068,0.063,0.0475,0.05,0.0855,0.0635,0.0985,0.0915,0.183,0.113,0.146,0.064,0.123,0.1665,0.15,0.09,0.11,0.2,0.19
Djibouti,DJI,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0.0105,0,0.026,0,0,0.034,0.01,0.01,0.02,0,0.02
Ecuador,TMP,0.006,0,0.008,0,0.008,0,0.003,0.007,0,0,0,0.011,0.0105,0.027,0.007,0.021,0.015,0.0155,0.041,0.088,0.056,0.0275,0.05,0.024,0.0365,0.026,0.0825,0.076,0.142,0.1035,0.1125,0.052,0.08,0.11,0.18,0.19,0.24
Egypt,ECU,0.012,0.018,0.012,0.018,0.026,0.022,0.0225,0.048,0.0905,0.0775,0.0555,0.027,0.1275,0.04,0.1095,0.165,0.151,0.1745,0.109,0.106,0.2655,0.156,0.118,0.214,0.2625,0.308,0.3715,0.575,0.815,0.579,0.799,0.187,0.25,0.13,0.17,0.13,0.13
El Salvador,EGY,0.002,0,0,0,0,0,0.0025,0,0.004,0,0,0,0.006,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0.0115,0,0,0,0.01,0,0.01,0,0,0
