Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,1.4,0,0,1.4,1.2,0,1,1,0,1
Albania,ALB,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Algeria,DZA,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1
Andorra,AND,0,0,0,0.2,0.2,0,0,0,0,0.5,1.05,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,1,0
Angola,AGO,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,1,0,0,0
Antigua and Barbuda,ATG,0,0,0.2,0,0,0,0,0,0,0,1.2,0,0,0,0,0.75,0,0.7,0,0,0,0,0.9,0,1.25,0,0,2.7,0,0,1.45,2.4,1,0,0,1,0
Argentina,ARG,2.2,0.8,2.6,0.6,0.4,4,8.85,12.2,24.35,12.3,32.75,14.45,9.4,11.5,14.75,10.3,14.2,17.55,15.75,29.5,21.2,15.3,8.95,25.95,20.3,39.15,57.25,49.45,58.6,108.8,107.3,85,73,58,59,70,193
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,1.1,1.2,0,0,0,0,0,0,0,2,0,0,0,2
Australia,AUS,73.8335,60.895,43.7905,44.7925,46.303,44.975,68.2255,97.8695,126.6215,94.2845,87.036,104.4305,90.922,99.3385,92.14,108.791,143.7025,146.881,146.1395,142.582,150.6055,143.277,143.4915,161.2525,202.7845,208.4595,199.2095,208.149,191.6455,184.406,189.0935,179.882,177.83,179.7,194.27,210.12,215.99
Austria,AUT,4.6,2,4.2,6.4,4.4,4,8.4,6.5,5.9,6.2,7.95,7.5,10.2,2.5,9.95,12.15,10.95,7.6,10,10.8,21.15,12.55,12.5,10.25,17.85,33.55,26.25,25.85,28.1,14.55,42.95,25.85,32,28,29,32,37
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,1,0,0
Bahamas,BHS,0.6,0,0.4,0.2,0.2,0,0.2,0.4,1.3,0.55,1.05,0,1,0.65,0,1.3,0.7,0.7,0,3.4,0,2.1,1.9,1.05,1.2,0,1.3,1.35,0,0,6.15,1,0,2,4,3,1
Bahrain,BHR,1,0.6,1,1.8,2.2,1.2,1,0,0.4,1,0,0.55,1.1,1.75,1.8,0.75,3.1,0,3.55,0.85,0,0,0,1.5,0,0,1.1,3.95,2.7,2.45,1.2,2,4,1,0,1,2
Bangladesh,BGD,0.2,0.2,0.2,0.4,0,1,0,1.1,1.1,0,0,0.55,0,2.4,17.3,8.05,3.35,4.85,4.4,1.85,3,3.35,2.2,6.2,1.45,4.4,5.15,1.15,3.85,8.5,11.9,4.6,8,5,5,5,2
Barbados,BRB,0.4,1,1.2,0.6,1,1.2,1.05,0.5,0.55,0.5,0.45,0.5,0.5,0.45,0,2.1,4.95,1.65,2.3,1.8,0.9,0.95,1.95,0,3.65,1.45,1.25,4,2.7,4.2,1.65,1.2,2,0,2,0,1
Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,1.4,0,0,0,1.4,1.2,0,0,0,0,0
Belgium,BEL,2,0.6,1,1.8,0.6,1.4,1.65,3.7,1.35,1.1,3.95,2.7,4.2,1.8,3.7,4.55,4,4.5,6.4,3.2,2.65,7.05,2.9,4.75,5.85,3.85,9.7,9.8,9.6,4.7,5,5.4,6,10,7,15,14
Belize,BLZ,0,0,0,0.2,0,0,0.2,0,0,0,0,0.55,0,0,1.3,0,0.85,0,0,0,0,0,0,1.15,0,0,1.3,0,1.65,0,0,0,0,0,3,0,4
Benin,BEN,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0.7,0,2.7,0,0,1.1,2.3,1.25,0,2.6,2.7,1.4,1.35,0,0,4,4,4,6,4
Bolivia,BOL,0,0.2,0,0,0.2,0,0.3,0,0,1,0,0.4,0,1.25,2.75,0,1.65,2.25,0,1.5,1.75,1.9,1.75,3.75,2.3,1.4,5,2.7,2.65,4.25,2.65,3.85,9,6,5,6,8
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.55,0.8,2.3,2.15,1.8,0.95,0.95,0.9,1,2.4,1.3,1.25,1.1,0,0,1.2,2.4,1,2,0,0,3
Botswana,BWA,0.2,0,0.2,0,0.2,0,0.25,0.65,1,0.55,0,0.55,1.15,0,0.65,0.75,0.9,4.05,3.05,2.45,1.7,2,2.85,2.3,1.25,3.85,7,2.5,9.1,5.15,5.25,6.5,8,15,3,8,14
Brazil,BRA,2.4,4.4,2.8,1.8,2.2,3.2,8,6.5,9.1,7.45,5.35,4.85,5.05,7.2,9.45,10.2,9.5,12.95,17.1,17.35,15.15,13.5,14.4,21.65,32.65,34.6,34.65,42,35.9,58.6,58.15,48.75,54,39,74,50,109
Brunei Darussalam,BRN,1.4,1.4,3,2.2,2.4,2.6,1.45,2.2,1.55,2.45,3.85,4.15,2.2,3.25,2.35,7.35,8.85,9.2,4.15,3.5,6.55,5.8,3.15,2.95,7.6,8.05,6.35,8.6,12.05,7.95,7.1,10.8,3,4,5,2,1
