Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347238298069355,0,0,0,0,0,0,0,0.0064817815639613,0,0,0.0064817815639613,0.00555581276910968,0,0.00462984397425807,0.00462984397425807,0,0.00462984397425807
Albania,ALB,0.000925968794851613,0,0,0,0,0.000925968794851613,0,0,0,0,0,0,0,0,0,0,0.00324089078198065,0,0,0,0,0,0.00509282837168388,0,0,0,0,0,0,0,0,0,0.00462984397425807,0.00462984397425807,0,0,0
Algeria,DZA,0,0.000925968794851613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347238298069355,0,0,0,0,0,0,0.0069447659613871,0,0,0,0,0,0,0,0,0,0.00462984397425807
Andorra,AND,0,0,0,0.000925968794851613,0.000925968794851613,0,0,0,0,0.00231492198712903,0.00486133617297097,0,0,0,0,0,0,0,0,0.00416685957683226,0,0,0,0,0,0,0,0,0.00555581276910968,0,0,0,0,0,0,0.00462984397425807,0
Angola,AGO,0,0,0,0,0,0,0.00138895319227742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578730496782258,0,0,0,0,0,0,0,0.00462984397425807,0,0,0
Antigua and Barbuda,ATG,0,0,0.000925968794851613,0,0,0,0,0,0,0,0.00555581276910968,0,0,0,0,0.00347238298069355,0,0.00324089078198065,0,0,0,0,0.00416685957683226,0,0.00578730496782258,0,0,0.0125005787304968,0,0,0.0067132737626742,0.0111116255382194,0.00462984397425807,0,0,0.00462984397425807,0
Argentina,ARG,0.0101856567433677,0.00370387517940645,0.012037594333071,0.00277790638455484,0.00185193758970323,0.0185193758970323,0.0409741191721839,0.0564840964859484,0.112736700773184,0.0569470808833742,0.151627390156952,0.0669012454280291,0.0435205333580258,0.0532432057039678,0.0682901986203065,0.0476873929348581,0.0657437844344646,0.0812537617482291,0.0729200425945646,0.136580397240613,0.098152692254271,0.0708366128061484,0.0414371035696097,0.120144451131997,0.0939858326774388,0.181258391592203,0.265058567526274,0.228945784527061,0.271308856891523,0.503727024399278,0.496782258437891,0.393536737811936,0.337978610120839,0.268530950506968,0.273160794481226,0.324089078198065,0.893559887031807
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347238298069355,0,0,0,0,0,0,0.00509282837168388,0.00555581276910968,0,0,0,0,0,0,0,0.00925968794851613,0,0,0,0.00925968794851613
Australia,AUS,34.1837585073383,28.1934348812445,20.2743182554748,20.7382286216954,21.4375665540071,20.8227232742257,31.5873420065744,45.312051483865,58.6237788786518,43.6522524190935,40.2963100143525,48.3496921153757,42.0954673827492,45.9921755636835,42.6593823788138,50.3685355803509,66.532015371082,68.0036112782999,67.6603083476087,66.0132413537664,69.7279966665123,66.3350155099773,66.4343256632252,74.6573915459049,93.8860595397935,96.513495995185,92.2308903189962,96.3697393397842,88.7288763368674,85.3771007917033,87.5473401546368,83.282559377749,82.3325153942312,83.1982962174175,89.9439788879115,97.2822815871105,100
Austria,AUT,0.0212972822815871,0.00925968794851613,0.0194453446918839,0.0296310014352516,0.0203713134867355,0.0185193758970323,0.0388906893837678,0.0300939858326774,0.0273160794481226,0.0287050326404,0.0368072595953516,0.0347238298069355,0.0472244085374323,0.0115746099356452,0.0460669475438678,0.0562526042872355,0.0506967915181258,0.0351868142043613,0.0462984397425807,0.0500023149219871,0.0979212000555581,0.0581045418769388,0.0578730496782258,0.0474559007361452,0.0826427149405065,0.155331265336358,0.121533404324274,0.119681466734571,0.130098615676652,0.0673642298254549,0.198851798694384,0.119681466734571,0.148155007176258,0.129635631279226,0.134265475253484,0.148155007176258,0.171304227047548
